,variance
LGALS3BP,53401.62794417191
ATP6V0D1,53352.867018440884
NPEPL1,53266.69882301474
COX5B,53231.87516574853
PAWR,53008.90685276073
GPER1,53008.83971949212
CD55,52924.37938293714
ANGPTL4,52908.20997088274
HM13,52879.29115689038
HLA-E,52767.67811299602
CHMP1A,52740.83533142864
AGPAT2,52673.966043771296
GRB2,52625.53807772745
KARS1,52457.450712889484
WDR45B,52356.96444438367
ALDOC,51793.99537954695
POR,51480.65490137112
RNF40,51426.68567249469
PPT1,51356.03201509169
RBM14-RBM4,51217.01797602286
GABARAP,51145.26239525384
FARSA,51114.04955367517
JMJD8,51074.53523437178
RPL37,51028.03876806146
DDX56,51012.10391918306
RGS16,51006.48028105471
CYB561,51000.74323677772
IRAK1,50971.88972427656
GADD45B,50932.4405150848
MYC,50921.30820335462
RBM8A,50729.33912484792
WSB1,50702.25376949685
CALM3,50537.289803562315
GPS1,50530.38886990279
RAB7A,50461.95349473025
DCTN1,50390.77970828266
SEC13,50285.68122975133
DBI,50139.8478531297
PPM1G,50077.40420761961
CDH3,50060.033696499144
MORF4L2,50053.03265758073
H2AC6,50037.46129345341
NONO,50028.23983978782
TMEM59,49902.86442114473
GDI1,49865.75517066966
LINC00052,49807.184408021574
PEDS1-UBE2V1,49770.64160048117
PSMC2,49753.048692466415
POLDIP2,49700.60172515141
ARRDC3,49624.15143603132
MT-ND1,49526.88495345374
NGRN,49504.508126802706
FLII,49464.83222834333
CD276,49427.12086995746
C1orf43,49418.10461635205
COX7C,49162.122988804316
FAM234A,49130.096660424
H1-0,49000.84871433843
ATP5F1C,48996.081432066996
MT-ND6,48744.65937145435
AP1M2,48702.810588765955
ALKBH5,48677.39936844698
NDUFS8,48671.49120336825
SRM,48498.47933782623
ATP5MC1,48408.01179719217
METRN,48364.40113187426
TRMT112,48345.176192363935
CA2,48149.18779817644
RRM2,48070.469167361494
IGFBP4,47989.486282175756
FBXW5,47919.97758123385
THEM6,47873.51669787974
PGD,47820.459147266665
CNOT1,47793.33868740856
COPB2,47774.77862835426
MYL12-AS1,47740.90276543682
TFAP2C,47719.34963706205
GET4,47693.70593140403
NMD3,47349.7712055555
YWHAQ,47323.946646070566
SET,47307.96302270588
APMAP,46901.5949175017
SRSF3,46897.95573660686
TMEM106C,46821.61946878465
CSNK1D,46776.210326302404
MBOAT7,46757.99466870803
ZFP36L2,46724.855508318076
ST14,46640.204461881265
BCKDHA,46615.37565103273
HADHA,46517.95901740187
NDUFB10,46467.99181168237
DCXR,46313.97680204504
SEPHS2,46283.41750850958
RPL7A,46268.982420406595
APEH,46260.312946837475
MT-ND2,46231.137930091725
TPM3,46172.05939606033
RBM14,46100.09465093713
ARF6,46088.69334135307
CCT2,45853.67937063412
RHBDD2,45734.44806091343
TM7SF2,45383.8551118888
DDX3X,45302.00955531557
SPAG5,45212.94735690959
RBM39,45171.80354872667
CD59,45120.29111588042
TES,44927.248684264545
HES1,44850.2994819078
RBM4,44812.60778095227
CCNL2,44423.89743414484
ATXN7L3B,44238.50629502552
YARS1,44231.181496315985
MRPS34,44205.82491490437
ZDHHC12,44080.988831626855
OTUB1,44018.39722226018
PSME2,43909.88919114727
ACO2,43769.57583421047
BCAR1,43647.203696362405
STARD7,43411.889860976305
IPO4,43358.97118368347
ATRAID,43147.06336035433
AURKAIP1,43024.23901958904
CLPTM1,42992.33632250217
GUSB,42966.5206074939
SUPT5H,42900.10542288081
PDCD6,42881.039888999745
HNRNPH2,42869.557475428235
ASF1B,42863.490670239
NCAPD2,42744.07811026201
TSC22D1,42628.035336896624
IFT122,42509.09988653921
RNF187,42404.37786556944
PSMA6,42350.56846609159
EDN1,42301.72140582076
ATP6V1G1,42189.661353601325
YWHAB,42176.721597200405
CBX5,42167.481429333006
ARF5,42101.825502713495
RHOT2,42045.67029376783
USP10,41983.30801197488
HGS,41919.43500608314
CACNG4,41908.31145680972
ANXA9,41826.63685699837
CAP1,41807.61751397755
ATP6V0B,41744.27037852174
NOC2L,41693.32982926194
GSPT1,41690.114199007585
TSKU,41655.00448375328
PDLIM7,41622.957322324444
TM9SF1,41621.00513991224
YWHAE,41559.81885910353
SEL1L,41469.96425300397
NDUFS2,41392.83149016447
TRIM33,41390.56477519717
AKAP8L,41293.36185802357
XPC,41117.99328804015
CUX1,41104.16801771627
SLC9A3R2,40960.96772517874
RPS15,40904.52343717961
PMPCA,40900.07653821447
SLC39A1,40884.4704660096
OBSL1,40811.97897557179
PPDPF,40740.54936913042
RPL35,40688.720120842605
SOD1,40669.76599729331
CORO1B,40634.78223722882
EIF3D,40595.57580687054
RND3,40555.378179978965
ALCAM,40530.113488168565
WDR83OS,40511.83478462948
ADAR,40276.2964745123
PDXDC1,40220.957486364234
PSMD7,40043.5584870067
TSEN54,39866.12086995751
KAT5,39724.07061911335
ITGB1,39634.26104192582
NDUFB8,39627.060831408184
MVD,39523.59104889755
USP5,39386.52658127486
LRP10,39365.49997949502
RTF2,39317.768457889615
UBQLN1,39264.312550408045
CALML5,39253.511011168404
MDH1,39231.73312099295
SHISA5,39164.89409866987
SEC24C,39152.98459393331
BCL3,39141.76453460554
MCM5,39099.11168373141
GAA,38974.23217092933
MYLIP,38920.757508236195
AKAP13,38911.07962762981
CTSA,38853.187114677414
LITAF,38808.50693751452
SRSF7,38803.54801580244
DPP3,38607.42338660068
PSMB3,38456.13657676377
UBAP2L,38426.03625278526
SLC5A6,38390.29568165351
SLC52A2,38336.970158435106
RPL23A,38330.50127814308
NDUFA4,38329.67451779144
CHCHD2,38326.73917679383
