,zero_rate,variance
EMP2,0.12010443864229765,227946.73983295317
PEBP1,0.05221932114882506,227921.04818667704
RMND5B,0.0391644908616188,227309.65692452804
YWHAZ,0.04177545691906005,225677.48909819147
XPOT,0.06266318537859007,222758.03912348082
TFF3,0.19321148825065274,221386.06617637016
IGFBP2,0.09921671018276762,219306.51297964546
PRPF8,0.06266318537859007,218107.66720435244
ILVBL,0.08616187989556136,216833.1358795948
SLC25A6,0.03655352480417755,215235.95111615394
LMCD1,0.5404699738903395,214355.1368501637
CLIC1,0.0391644908616188,213288.1242601122
BCAP31,0.033942558746736295,213017.97464218808
RPN2,0.06005221932114883,212938.67099093672
ENO2,0.2193211488250653,212803.30053449652
CCT7,0.06266318537859007,210154.33801757966
SF3B3,0.06005221932114883,208476.95185433282
EEF1A2,0.06527415143603134,207691.4909573083
ISG15,0.13054830287206268,207372.26012603717
DDR1,0.05221932114882506,206839.74638087282
FAM162A,0.06527415143603134,205775.5925799353
FLNB,0.07571801566579635,205296.17304826857
CDC20,0.4804177545691906,204960.76886798957
PHLDA3,0.05483028720626632,204805.00604213096
TSC22D2,0.08093994778067885,204137.46054160444
DKK1,0.22193211488250653,203079.74275832853
CLU,0.06527415143603134,202143.44709034468
CCT5,0.044386422976501305,201936.5305045588
AGR2,0.1227154046997389,201780.20838516502
PSMC3,0.04960835509138381,200246.29944089768
ARF1,0.04177545691906005,200155.16808606606
FBP1,0.10443864229765012,197363.70441403615
BMP7,0.1671018276762402,196809.42125408413
CRABP2,0.1409921671018277,196720.888781048
MBTPS1,0.06266318537859007,196364.58795948233
COPG1,0.057441253263707574,196355.28962585283
KIF22,0.09921671018276762,195223.62050770334
HMGN2,0.0391644908616188,195081.3242929204
TRIM37,0.04177545691906005,192772.3498011018
CLDN3,0.05483028720626632,192586.9250064932
NECTIN2,0.057441253263707574,191119.63301573388
NEAT1,0.06527415143603134,190720.80517545412
TMED10,0.04699738903394256,189789.87691550588
FOXA1,0.044386422976501305,189174.46885295204
SYNGR2,0.06005221932114883,188790.50282285069
EEF1G,0.044386422976501305,187656.30798463512
MARS1,0.04960835509138381,185500.26250461364
TXN,0.0391644908616188,185428.40608040683
PPP4C,0.044386422976501305,184433.73510313986
PDIA4,0.057441253263707574,183313.9786885021
CCNB1,0.26109660574412535,183049.23949803837
ARPC1B,0.0835509138381201,182408.32229710356
NEDD9,0.1906005221932115,181799.68546744506
