,zero_rate,variance
ATG16L2,0.31592689295039167,2833.322666192776
UBE2J2,0.10182767624020887,2833.187784506445
SBDS,0.06788511749347259,2832.8269380613224
EIF1AD,0.1462140992167102,2828.279277678291
ARHGEF28,0.4699738903394256,2826.9357921069577
ZBTB7A,0.12532637075718014,2824.9184038932126
IQANK1,0.1566579634464752,2824.7946359000957
HDAC11,0.34464751958224543,2824.1642858119408
GDPD3,0.597911227154047,2820.255874673619
NIF3L1,0.14360313315926893,2817.730988476205
EMC6,0.10182767624020887,2817.701844080213
PRKAR1B,0.09138381201044386,2812.835823547904
ZNF786,0.3524804177545692,2810.965797711651
NCS1,0.21671018276762402,2809.7459160936655
DNMBP,0.4255874673629243,2809.620275313391
SAR1B,0.0835509138381201,2809.1062020696336
ACBD6,0.0783289817232376,2808.809167088158
EZH2,0.1618798955613577,2808.08811668694
SINHCAF,0.1227154046997389,2805.747501811272
DROSHA,0.195822454308094,2805.345905157685
LRP3,0.3289817232375979,2798.9368036854244
TMEM53,0.09921671018276762,2797.9551487977237
IGSF3,0.31592689295039167,2797.5117083373143
SLC2A4RG,0.08877284595300261,2797.3784123685987
UBE4B,0.2741514360313316,2796.5064864052033
GPATCH4,0.3002610966057441,2795.800582341117
SNX8,0.206266318537859,2793.940521919815
IFT22,0.10704960835509138,2793.821825489043
HPS6,0.4046997389033943,2788.799734802403
METTL22,0.2402088772845953,2788.1750167457285
L3MBTL2,0.36553524804177545,2788.104452312285
JPT2,0.14360313315926893,2786.7060681038392
CACFD1,0.370757180156658,2784.201850915195
THAP3,0.09921671018276762,2783.6872172023013
GFM1,0.13577023498694518,2781.460063155301
PEX11B,0.1566579634464752,2777.0979180621425
GTF3C3,0.16449086161879894,2776.5036293795183
MUC1,0.3237597911227154,2773.906839090675
IRF3,0.15926892950391644,2771.127978346756
SPIRE1,0.31592689295039167,2768.312044618827
TRAPPC3,0.08616187989556136,2766.7219389498714
CBFA2T2,0.22193211488250653,2762.8975708446696
NFATC2IP,0.17754569190600522,2760.1065574891
SPART,0.26109660574412535,2760.016827744594
UCK2,0.2010443864229765,2756.230981641218
CLK1,0.17232375979112272,2754.6327560045397
CNNM2,0.08616187989556136,2753.0631006247186
ASAH1,0.12532637075718014,2750.031974081719
C6orf89,0.1174934725848564,2749.4528317362256
ETV6,0.206266318537859,2748.5090563613257
MAT2B,0.10966057441253264,2746.5388295763655
CIRBP,0.06005221932114883,2746.4787090071472
BBS2,0.1409921671018277,2746.3849056087934
CES2,0.4046997389033943,2743.744972865083
TTC31,0.3733681462140992,2741.6357360600423
GLRX3,0.07571801566579635,2741.052274001066
QKI,0.17754569190600522,2736.2302024523906
SPTY2D1,0.18276762402088773,2735.4275969543255
FBXO27,0.49869451697127937,2733.6779899662315
MRPL36,0.0731070496083551,2733.3618716935753
NSMCE4A,0.21671018276762402,2730.548863341216
ITGA3,0.3968668407310705,2728.056662064446
OSTF1,0.10966057441253264,2727.697141607316
YIPF6,0.10704960835509138,2726.4722977868305
WDR3,0.19843342036553524,2725.084904241792
LTBP1,0.5091383812010444,2724.5990868453882
SMIM12,0.15404699738903394,2723.694339261545
EXOSC7,0.13054830287206268,2723.561508072124
PLK3,0.6501305483028721,2723.341517094313
UBN1,0.10966057441253264,2722.0159802058706
ZC3H12A,0.3733681462140992,2721.950090905362
TXNL4A,0.07049608355091384,2720.845365193501
CLMN,0.3342036553524804,2717.8702718958825
ZNF394,0.185378590078329,2717.7583010949656
CCPG1,0.1671018276762402,2714.640178803332
SLC39A7,0.27676240208877284,2708.4599401254945
DDX19A,0.1801566579634465,2708.191940180171
GGA3,0.14360313315926893,2706.7292387188513
CPSF4,0.2454308093994778,2704.98731425916
UBE2J1,0.09660574412532637,2702.858406353807
MTG2,0.2924281984334204,2701.5130343253154
CENPF,0.5691906005221932,2701.092026301036
SMAD7,0.45430809399477806,2700.8001038918283
WRAP53,0.17232375979112272,2699.1741281970617
TMEM262,0.0731070496083551,2698.7378234658877
HES6,0.28720626631853785,2697.4266537257467
TMCC3,0.6788511749347258,2697.1490984648613
CEP350,0.12010443864229765,2696.820622530861
KTN1,0.08616187989556136,2696.6428034393684
MX1,0.8981723237597912,2694.2394433584373
SUPV3L1,0.17232375979112272,2694.143028994029
SHCBP1,0.5456919060052219,2693.8447363744413
PROM2,0.38642297650130547,2693.7849985646426
NAT9,0.38903394255874674,2692.8503410659932
ADCY3,0.39947780678851175,2692.222916353405
PPP1R13B,0.08877284595300261,2691.608150041695
C8orf82,0.1122715404699739,2691.2830779325536
STK10,0.39425587467362927,2691.1443003021013
PSMC6,0.08616187989556136,2690.0302243243614
RDX,0.20887728459530025,2684.8014025398825
TSPYL5,0.27676240208877284,2681.549806569789
CYRIB,0.09399477806788512,2679.751917214607
PCBP3,0.412532637075718,2678.7923803535027
MAP1S,0.2402088772845953,2678.0535589791293
DPP9,0.370757180156658,2677.4742252539236
CPT2,0.3185378590078329,2677.269900072445
SLC8B1,0.4751958224543081,2676.6547510013215
RRP1B,0.206266318537859,2675.834702609599
MIB2,0.3237597911227154,2674.91640807622
AK1,0.3785900783289817,2672.9146719888395
CDS2,0.206266318537859,2671.190750891966
ARG2,0.08093994778067885,2670.264705480296
MTHFD1L,0.24804177545691905,2670.0353095566898
DHRS4-AS1,0.1174934725848564,2669.8033163369914
ISG20L2,0.19321148825065274,2669.7425806187075
VPS33A,0.21148825065274152,2669.665126515664
DUT,0.11488250652741515,2668.9239265648716
RREB1,0.2689295039164491,2668.3298292619556
ITPR1,0.639686684073107,2668.3101444916842
SHH,0.8485639686684073,2667.5928396648123
ANKRD37,0.26109660574412535,2665.2980602299294
HNRNPDL,0.07571801566579635,2665.1498776536837
KCNK1,0.17232375979112272,2658.9475346192203
ELP6,0.32114882506527415,2658.515016472329
AGAP1,0.1671018276762402,2658.0055363416373
SP110,0.6057441253263708,2657.8099599469465
SUCO,0.0783289817232376,2657.505119407271
IRX3,0.30809399477806787,2655.8742635298595
NECAB1,0.40992167101827676,2655.3282845542954
SRSF11,0.0731070496083551,2652.791901904227
EPHA4,0.6657963446475196,2652.3153390838347
NECAP2,0.10966057441253264,2651.20380572225
CLK2,0.2689295039164491,2650.9832952852285
SURF2,0.15404699738903394,2650.9306795346706
UBE2M,0.07571801566579635,2650.8208139105714
SNHG17,0.2349869451697128,2649.380312495724
MED8,0.13577023498694518,2648.7440159665375
PRR14L,0.20365535248041775,2648.0992850600824
FAM114A1,0.32114882506527415,2646.652235725125
NTAN1,0.1122715404699739,2644.969420256172
PHTF1,0.31592689295039167,2644.2619168045007
TIMM29,0.1514360313315927,2640.7572074966183
DUS2,0.23759791122715404,2634.0460815004185
LARGE1,0.27676240208877284,2633.003335474964
STXBP1,0.30548302872062666,2632.7290336691594
CTBP1-AS,0.06527415143603134,2631.7239621068147
MT-TY,0.22715404699738903,2631.536259620249
TMEM185B,0.1618798955613577,2627.9316911131455
PCSK6,0.3394255874673629,2626.080980957717
NAXD,0.2898172323759791,2624.1742922368267
LETM1,0.19843342036553524,2623.986097630997
CENPO,0.08877284595300261,2621.7403387420886
FOXRED2,0.402088772845953,2619.835058029061
PPP1R15B,0.14882506527415143,2618.993137670358
PLEKHB1,0.5195822454308094,2616.1887824149353
COX15,0.14882506527415143,2614.821565759432
UBALD1,0.08093994778067885,2611.6154498106753
TMEM97,0.13315926892950392,2608.9231337060664
MRPL13,0.10443864229765012,2606.941916257705
SETX,0.1514360313315927,2604.1828223039383
NEMF,0.0835509138381201,2604.1043292824643
H2AW,0.15926892950391644,2602.976241575876
TOP3B,0.3342036553524804,2601.3761021420787
LIG3,0.25326370757180156,2600.810329036402
DDRGK1,0.10182767624020887,2600.7403387420895
GATA2,0.5169712793733682,2600.38866485312
BOK,0.2924281984334204,2599.3366915915967
DEAF1,0.24281984334203655,2597.744357716017
CFLAR,0.17232375979112272,2597.4855029868886
NF2,0.2558746736292428,2597.1787349801057
SPATA2,0.2297650130548303,2596.980506609433
WRAP73,0.3028720626631854,2593.653561713129
COX19,0.09138381201044386,2591.741500690336
HTRA2,0.06527415143603134,2591.646590023651
CFAP410,0.18798955613577023,2589.93959236122
GSN-AS1,0.1462140992167102,2583.3606824053672
AKAP8,0.17493472584856398,2582.6910447965242
TRIO,0.2689295039164491,2580.8406763905764
ZSWIM5,0.40992167101827676,2580.3703334107868
BPNT2,0.13315926892950392,2578.2797697975448
FUCA1,0.3028720626631854,2577.9744234686164
FARSB,0.13054830287206268,2576.9279318688245
MACROD1,0.10966057441253264,2576.1550995857997
MAN2B2,0.402088772845953,2575.892553962245
PRKAB2,0.27676240208877284,2575.6984539253413
COMMD9,0.13315926892950392,2574.9214659685863
FAM110B,0.45430809399477806,2574.816357497296
ADAM9,0.17754569190600522,2574.604787226772
CSNK1E,0.11488250652741515,2571.874290869818
CCNG2,0.16971279373368145,2569.8203354612947
SLC30A5,0.1227154046997389,2568.514606372948
SUMO1,0.08877284595300261,2568.1844490314816
ABCD4,0.2584856396866841,2567.802646508
MICALL2,0.23759791122715404,2567.2398124478914
CITED4,0.24281984334203655,2566.9842111738367
ADSL,0.20887728459530025,2566.2852924692143
MED13,0.1279373368146214,2565.1137068883013
SEC22B,0.0835509138381201,2564.70576736429
FAM83B,0.1671018276762402,2562.8737577406273
TMEM216,0.2245430809399478,2561.6228042595594
C22orf39,0.10443864229765012,2561.3236094213494
TMPRSS2,0.6057441253263708,2557.2761472530333
POLR3E,0.1801566579634465,2555.747775210867
MIEF2,0.37597911227154046,2555.7477752108643
TBC1D8,0.42297650130548303,2554.9063059614696
DDX17,0.12010443864229765,2553.196273563625
NDUFAF8,0.13577023498694518,2553.060475988683
ABI2,0.09138381201044386,2551.924705753693
SETD2,0.16971279373368145,2551.510313999424
MED22,0.5013054830287206,2551.3553647833924
SNX3,0.07571801566579635,2551.0970978633827
ZNF106,0.14360313315926893,2550.122879444453
PLAAT3,0.3785900783289817,2549.090098833955
CNOT7,0.08616187989556136,2548.4902054597915
ZNF32,0.23759791122715404,2545.806733831836
CBLB,0.2898172323759791,2545.274752915126
LDHAP4,0.1122715404699739,2544.6295572293698
TXNDC12,0.1174934725848564,2544.407119325246
NOA1,0.17754569190600522,2543.5983486664927
GNPTG,0.09660574412532637,2543.173417358139
SREK1,0.09921671018276762,2542.7105381870897
TIMM22,0.14360313315926893,2540.712643363911
TMBIM4,0.0835509138381201,2540.310568261041
NUP153,0.19843342036553524,2539.620999822288
ACOT8,0.195822454308094,2539.4308367394424
ZBTB1,0.1514360313315927,2537.1870736675173
NIN,0.32114882506527415,2534.432928246274
GALNT1,0.1122715404699739,2532.348816863284
INPP4A,0.381201044386423,2532.1593509493796
KRI1,0.17493472584856398,2530.9907727639343
TIMM8B,0.10443864229765012,2527.8720353232256
ALDH9A1,0.21671018276762402,2525.035377906582
SPPL2B,0.360313315926893,2522.324675679735
SNRPE,0.06266318537859007,2519.3661230571543
RAI1,0.31070496083550914,2518.960616789474
LHFPL2,0.43342036553524804,2517.0796276297665
HADH,0.24281984334203655,2514.8612907194497
DECR2,0.2402088772845953,2512.310704960834
WHRN,0.3263707571801567,2512.227236066878
ZNF276,0.2689295039164491,2511.6018071712724
MRPL20-AS1,0.1514360313315927,2510.7351578199105
FREM2,0.4412532637075718,2510.165639139889
RPL23,0.06788511749347259,2507.260249067025
ZNF468,0.19843342036553524,2505.7634546771833
CRYBG1,0.33159268929503916,2498.331756729053
FSCN3,0.06266318537859007,2498.170027203258
BTN2A1,0.30809399477806787,2495.689787158427
TOM1L2,0.391644908616188,2493.823342856751
EXOSC8,0.09921671018276762,2491.9567208453495
VPS35L,0.16449086161879894,2490.1516000710817
DENND11,0.5117493472584856,2486.4854072970356
VEZT,0.1566579634464752,2484.5377086380604
OGFOD1,0.2349869451697128,2482.09683813378
MKKS,0.09921671018276762,2481.2714857900546
OPA1,0.13054830287206268,2480.426968135278
LPCAT2,0.566579634464752,2480.118874140511
HERC1,0.2950391644908616,2478.337976569657
CDC42EP4,0.32114882506527415,2478.1643678318014
GSTO2,0.185378590078329,2477.3598758765884
TRIAP1,0.09660574412532637,2476.0059601110006
INTS8,0.09660574412532637,2475.0217762771144
AKAP9,0.0731070496083551,2475.0037319043677
WDR4,0.4281984334203655,2473.9591677716435
ALAD,0.21671018276762402,2473.1204871980603
TMC6,0.4412532637075718,2471.7746777302436
MRPL32,0.08093994778067885,2471.2159583339053
DDX46,0.09138381201044386,2468.36155728405
APP,0.29765013054830286,2466.933099121022
TMEM150A,0.30809399477806787,2466.542192391282
THADA,0.195822454308094,2465.9266742307223
MINDY1,0.3681462140992167,2465.5433133295987
FRMD3,0.6866840731070496,2465.01911063113
PMP22,0.597911227154047,2463.26238158381
SYMPK,0.1462140992167102,2461.0484053969135
PTPN9,0.28720626631853785,2460.2785531693776
NAA50,0.0835509138381201,2458.8251883039666
CNNM1,0.6109660574412533,2457.799639112552
DDHD1,0.2245430809399478,2456.6761035090863
PPP6R2,0.2898172323759791,2455.0854510409663
PARP9,0.6892950391644909,2449.5491640807645
PCDHGB1,0.21671018276762402,2448.879936571299
SNN,0.30809399477806787,2446.067871447509
ING5,0.13315926892950392,2445.8388582833254
ACP2,0.3785900783289817,2445.0066572799515
RCOR1,0.10443864229765012,2442.922067447678
NBL1,0.09138381201044386,2442.2102306125503
RTL8B,0.22715404699738903,2442.130001503691
CNOT9,0.12010443864229765,2441.5197462851825
MIA3,0.15404699738903394,2440.722267029374
CCDC85B,0.13054830287206268,2440.479788935522
SEPTIN9,0.13315926892950392,2438.8267603515924
RNF41,0.21409921671018275,2438.7663253728524
BANP,0.2193211488250653,2438.3441827402817
WDR24,0.4412532637075718,2437.694681011034
PPP2R5B,0.45430809399477806,2435.3948163438154
ARMC5,0.2845953002610966,2434.7996664524962
ZNF766,0.15404699738903394,2433.9538911596246
CLASP1,0.15404699738903394,2433.9533580304287
ACO1,0.2819843342036554,2433.073571828901
BRPF3,0.3681462140992167,2432.821141990079
TEN1-CDK3,0.16449086161879894,2430.5576804778957
C17orf49,0.0835509138381201,2430.461963282435
ZFYVE19,0.15926892950391644,2430.306357907396
MOB3A,0.3289817232375979,2427.8849671236967
CAMKK2,0.3133159268929504,2426.2332098478605
ST3GAL5,0.391644908616188,2424.483466159959
TBC1D10B,0.14882506527415143,2424.310581931023
ANKMY1,0.15404699738903394,2423.817478435606
ATL3,0.10966057441253264,2422.6546006315543
IGHMBP2,0.3133159268929504,2421.8530887318384
PSMG1,0.1566579634464752,2421.596421199405
CTDSP1,0.26370757180156656,2421.2874933358876
LTO1,0.08616187989556136,2420.096742443922
VARS2,0.37597911227154046,2419.2868508468564
TRIP4,0.17232375979112272,2419.105122141262
NOC2LP1,0.2245430809399478,2418.1599524284684
GPR157,0.34464751958224543,2417.9234891255246
PKIG,0.19843342036553524,2417.5094527907277
HAT1,0.14360313315926893,2414.7492242286703
GPKOW,0.206266318537859,2411.8783918636245
DOK7,0.618798955613577,2408.784656815159
METAP1,0.13577023498694518,2408.206471368227
PYGO2,0.10182767624020887,2406.9666179104065
SAC3D1,0.2584856396866841,2405.663417768236
EOLA2,0.10443864229765012,2404.9851133924794
COQ8B,0.19843342036553524,2404.772613563355
BRD9,0.1671018276762402,2404.0983281615217
PRKCH,0.1279373368146214,2403.2277828660467
CAMSAP2,0.21148825065274152,2402.9699397153895
FANCD2,0.3968668407310705,2402.5127472557565
SQOR,0.2950391644908616,2401.820294451357
CSNK2A1,0.09138381201044386,2400.8661025521837
B3GALT6,0.24804177545691905,2400.7173458368065
CEP250,0.370757180156658,2400.313343266848
TIMM17A,0.12532637075718014,2400.0354599264574
RPAP1,0.4699738903394256,2399.490178119832
EXOC2,0.19843342036553524,2398.8967779858654
VSIG10,0.2245430809399478,2397.8512022746836
TBC1D5,0.2349869451697128,2397.6488865801807
CFAP20,0.1279373368146214,2396.0963733544745
ZBTB25,0.09399477806788512,2395.9617650677337
SPATS2,0.1227154046997389,2393.1711481415664
APPL2,0.2245430809399478,2392.490205459793
RPP25,0.38642297650130547,2392.2843355706523
CLPB,0.26370757180156656,2391.106010689927
NDC80,0.6422976501305483,2389.515494921597
ZNF24,0.1227154046997389,2387.8499719765414
USB1,0.3733681462140992,2384.5179555178947
ATXN7,0.0783289817232376,2384.4718193375556
C1QTNF6,0.6135770234986945,2383.462920181001
CIT,0.6161879895561357,2379.363730810757
HMGA1,0.1279373368146214,2378.6659740543773
BCCIP,0.08877284595300261,2378.1267753885686
GPBP1,0.09399477806788512,2377.875357128209
C1orf116,0.9190600522193212,2377.7389444041796
CCDC97,0.2402088772845953,2376.5838038084603
STAG2,0.13054830287206268,2374.145421240413
CCDC12,0.09399477806788512,2374.0305387338876
NDST2,0.3733681462140992,2373.7817861195003
EDEM2,0.3524804177545692,2371.8163574973073
MPZL3,0.1174934725848564,2370.7632086175527
ENPP1,0.22193211488250653,2369.756947767013
B4GALT2,0.27154046997389036,2368.1874564269383
SLC35A1,0.14360313315926893,2366.974177408992
DNAAF4-CCPG1,0.17232375979112272,2365.180703457134
CLIC4,0.09138381201044386,2363.261547715061
ZZEF1,0.40992167101827676,2357.2420543245034
TSPAN17,0.3133159268929504,2357.136945853205
KCTD13,0.1227154046997389,2351.9423947069845
MIR5047,0.23237597911227154,2351.8924719423703
CLN8,0.23237597911227154,2349.6875452818076
HEY2,0.4725848563968668,2349.2979372001046
GPR39,0.4699738903394256,2348.638360696071
SNRPF,0.08093994778067885,2348.30184681421
INPP5A,0.2349869451697128,2347.812065123782
NTPCR,0.10443864229765012,2347.046122510357
HOMER2,0.22193211488250653,2346.472666876276
STAMBP,0.10704960835509138,2344.5163287903424
UNC5B,0.7127937336814621,2344.3828141019612
KIAA1958,0.23759791122715404,2344.357688679885
CDSN,0.8720626631853786,2341.470548029497
DCAF10,0.1566579634464752,2340.5743305127626
DPYSL2,0.24281984334203655,2339.1917624704424
DHODH,0.24281984334203655,2337.6960206690123
SCNN1B,0.7676240208877284,2335.9871912293756
TMEM79,0.22193211488250653,2335.7707544461687
SPCS1,0.0731070496083551,2335.4396675461007
WDFY1,0.18276762402088773,2333.338099599467
THBS1-AS1,0.15404699738903394,2328.863710305796
DIPK2A,0.17232375979112272,2328.0319604117385
IAH1,0.08877284595300261,2327.831435484532
SCN1B,0.39425587467362927,2326.9653739422874
FIP1L1,0.12010443864229765,2326.0101841346236
ANKRD13D,0.3185378590078329,2324.2062936584944
THNSL2,0.38642297650130547,2324.1727475291614
SYNJ2,0.30809399477806787,2323.2294232635677
TMEM131L,0.2689295039164491,2322.54485803726
BLOC1S1,0.0783289817232376,2320.36348475114
PSORS1C1,0.8381201044386423,2320.361229204552
RPAIN,0.09660574412532637,2317.6068650636294
SLC39A11,0.1566579634464752,2316.0650007518434
ARHGAP8,0.2819843342036554,2315.7371126269613
TMEM39A,0.21671018276762402,2314.409839651144
RB1CC1,0.13838120104438642,2313.8506144655744
PAX9,0.4360313315926893,2310.0863805995677
KIAA0895L,0.13838120104438642,2310.022186376499
APLP1,0.46475195822454307,2309.790466556404
ZNF16,0.5169712793733682,2308.2285347149036
PITPNB,0.1122715404699739,2307.165652809863
TRAF6,0.34986945169712796,2306.082881084857
CZIB,0.1514360313315927,2305.303008762452
GEMIN7,0.1409921671018277,2304.4628381611155
SLC7A6OS,0.18798955613577023,2303.737891815778
C16orf72,0.09660574412532637,2302.7403387420895
CA4,0.25326370757180156,2302.5526089155605
DSTYK,0.30809399477806787,2302.0526567604916
SLC25A23,0.3342036553524804,2301.6594261342725
ARMC8,0.13838120104438642,2300.729990567715
PTPN18,0.24281984334203655,2300.574644922283
MAD2L1BP,0.20887728459530025,2299.189835003352
PBDC1,0.1174934725848564,2298.9584706027126
SPSB1,0.3342036553524804,2298.925074843139
NIP7,0.10966057441253264,2297.93416537941
TRIM56,0.3002610966057441,2297.834784629473
NSMAF,0.1671018276762402,2296.811258594997
PER3,0.3394255874673629,2294.1801429879865
LRTOMT,0.10966057441253264,2292.6943255915708
CNOT3,0.06788511749347259,2291.4155947124514
TMEM120A,0.1122715404699739,2286.687969051168
CRYL1,0.2689295039164491,2286.3340942955124
RNF113A,0.1174934725848564,2285.520812543571
RRP7A,0.19321148825065274,2281.147239347669
CDK20,0.34464751958224543,2279.147102647866
PWWP2B,0.2741514360313316,2277.702664278972
DLG3,0.2349869451697128,2277.3494183423745
FAM199X,0.12532637075718014,2276.5427802004015
USP14,0.1227154046997389,2273.6027367298666
B4GALT4,0.2245430809399478,2271.424056429678
INTS3,0.3237597911227154,2271.341776823921
ING4,0.2819843342036554,2270.0162672754327
TMEM256-PLSCR3,0.1174934725848564,2269.950801744292
ABAT,0.4412532637075718,2269.542971580117
CLCC1,0.10966057441253264,2268.129550394377
WDR12,0.18798955613577023,2268.082771725017
GGCT,0.1906005221932115,2265.9108307246465
G3BP2,0.1279373368146214,2265.2650608997565
ZNF75A,0.14882506527415143,2265.1250666411465
DHDDS,0.2924281984334204,2264.453501565207
CRELD1,0.3368146214099217,2263.225677689226
ERGIC1,0.2845953002610966,2262.915478517629
R3HCC1,0.2741514360313316,2262.6613946112952
GIGYF2,0.20365535248041775,2259.2181455305977
DEDD,0.1279373368146214,2258.824436455103
ISCA2,0.08616187989556136,2256.814662419867
CACNB3,0.31070496083550914,2255.522179541516
MOCS3,0.2297650130548303,2255.095047366479
NBAS,0.381201044386423,2255.066340409824
ANKRD9,0.3002610966057441,2253.636378549071
SIAH1,0.13577023498694518,2253.519937664892
ATG3,0.10182767624020887,2252.681831230436
NIBAN2,0.1279373368146214,2251.6121416756623
SGCG,0.6214099216710183,2249.3980834689064
MTA2,0.3002610966057441,2249.2600030073977
GARRE1,0.33159268929503916,2249.2213579757413
FTSJ1,0.2506527415143603,2248.4075020846694
MRPL52,0.0783289817232376,2248.3937227454794
PDCL3,0.09921671018276762,2248.0862302297933
PLEKHA6,0.3838120104438642,2247.758970923965
BCR,0.3681462140992167,2247.7502084671823
ANO6,0.2924281984334204,2247.7115224256045
C11orf80,0.1227154046997389,2247.575055021664
AKT2,0.16971279373368145,2247.3137670362075
ZNF212,0.3263707571801567,2247.287589025748
L3HYPDH,0.6031331592689295,2246.576996158731
CD27-AS1,0.48825065274151436,2245.898650773027
PARP12,0.7258485639686684,2242.690224597758
TMX4,0.195822454308094,2240.424589558872
ST7,0.27154046997389036,2237.870545295469
CRABP1,0.30548302872062666,2237.422429702128
RALGAPB,0.23237597911227154,2236.3686520033352
C19orf33,0.0731070496083551,2236.104452312277
RCL1,0.16971279373368145,2235.88902710757
BCLAF1,0.10443864229765012,2234.3383593290755
USP28,0.3394255874673629,2233.893975640105
ARHGAP32,0.5091383812010444,2233.748322010026
ARAP1,0.4177545691906005,2233.094773966889
PTPN21,0.4516971279373368,2232.894290049622
FCHO1,0.360313315926893,2232.6369253482376
LASP1,0.2819843342036554,2232.3625825325025
AGRN,0.23759791122715404,2231.10628408951
AQR,0.17754569190600522,2230.7142837614347
SYNPO2,0.6866840731070496,2224.524011318748
PFAS,0.44386422976501305,2224.0734487990967
TMEM125,0.48825065274151436,2224.0033354749576
PTBP3,0.1409921671018277,2222.748991839021
BCL10,0.12532637075718014,2221.7815400598756
HAUS4,0.2819843342036554,2220.8631908465854
MINK1,0.18798955613577023,2220.575752190614
SPAG4,0.5718015665796344,2219.627643432256
MYH10,0.28720626631853785,2219.627506732461
EIF2AK3,0.2506527415143603,2218.9017401883725
ECD,0.1227154046997389,2218.1480595464295
NNT,0.22715404699738903,2218.002159856735
RCN2,0.1122715404699739,2217.990882123768
IL27RA,0.6135770234986945,2217.6525091247063
MT-TC,0.2402088772845953,2217.454567823605
SEH1L,0.10704960835509138,2216.036854264351
PVR,0.2819843342036554,2213.715801129145
ACP6,0.40992167101827676,2213.234836575404
WDR25,0.23237597911227154,2213.189780323429
PUSL1,0.17493472584856398,2212.23534236463
MDM4,0.1227154046997389,2211.081131327491
MRPL48,0.1122715404699739,2210.9293945566124
EEF2KMT,0.19843342036553524,2209.1142536874822
RBM27,0.12532637075718014,2208.593468483861
RTEL1-TNFRSF6B,0.5065274151436031,2208.277404891124
TFE3,0.22193211488250653,2207.9812994682347
MAML1,0.26109660574412535,2207.6120459858103
GSTO1,0.13838120104438642,2207.1164135442136
PPP6C,0.10966057441253264,2203.9002091506827
ACADS,0.39425587467362927,2203.6999849630197
CAPN13,0.6031331592689295,2202.7865706122934
NDUFB2-AS1,0.05483028720626632,2202.5280439626536
SMPD4BP,0.3028720626631854,2201.520607493879
MOSPD3,0.15404699738903394,2200.643199868761
RBM15,0.3289817232375979,2200.2534960972293
POLR1A,0.43342036553524804,2199.375186253463
CXCL16,0.21671018276762402,2199.33064946072
CBLL1,0.13577023498694518,2199.2384591199266
KIF16B,0.2584856396866841,2197.876751466107
BBS4,0.21409921671018275,2197.36538487827
GET1,0.1566579634464752,2195.4549095730854
OSBPL7,0.5822454308093995,2195.422498052039
UGGT1,0.3028720626631854,2195.17965086873
ANKRD28,0.26370757180156656,2194.9405355897925
NOC4L,0.1906005221932115,2193.1093735048435
EFR3A,0.1618798955613577,2191.4498926906617
KNOP1,0.10966057441253264,2191.327026916188
MIF4GD,0.1906005221932115,2190.973534919964
UNC13B,0.4856396866840731,2190.537380558549
TENT5C,0.44386422976501305,2189.9704318346467
ATP6V0A2,0.3133159268929504,2189.8756305278043
PHLDB2,0.6266318537859008,2189.4794745259906
MR1,0.3394255874673629,2188.400885814661
NOL4L,0.4621409921671018,2187.1777917515374
PDCL,0.1618798955613577,2186.8553306084495
ANKRD54,0.24281984334203655,2183.0946509370738
PHRF1,0.2454308093994778,2183.0405724987327
RUSC2,0.618798955613577,2180.745738383918
ORC3,0.14882506527415143,2178.182548904354
UNC119,0.1906005221932115,2176.983869424352
SLC20A2,0.15926892950391644,2176.7064782032185
TOR2A,0.24804177545691905,2174.624048227683
C1orf159,0.34464751958224543,2173.9829125258066
KIFBP,0.21671018276762402,2172.051426462342
NUAK1,0.608355091383812,2170.3111287302
SRRD,0.10443864229765012,2166.254452995781
ZNF250,0.360313315926893,2165.866758711199
B3GALNT1,0.2950391644908616,2165.1624403647156
CSNK2A2,0.12532637075718014,2161.7258485639686
RBSN,0.195822454308094,2161.6780446461503
RBM12,0.1409921671018277,2160.759463043212
PBRM1,0.11488250652741515,2160.3262067174287
PPOX,0.26631853785900783,2159.9195658414587
UBAP2,0.21148825065274152,2158.51206375678
RAD9A,0.05483028720626632,2156.7293207387274
PNPLA6,0.5691906005221932,2156.683116208474
MAGEF1,0.2193211488250653,2156.5450494169754
CHD3,0.1671018276762402,2155.0958128853213
PYURF,0.08616187989556136,2154.2504203518642
SUV39H1,0.4804177545691906,2153.974874577941
FCRLB,0.7806788511749347,2153.7178789659833
DNM1,0.45691906005221933,2152.9976077536085
RBM25,0.10443864229765012,2150.242573783714
CDCA7L,0.412532637075718,2150.0185638319626
MFSD1,0.16971279373368145,2149.334586414775
RGS2,0.8407310704960835,2146.795592798646
CHCHD6,0.26109660574412535,2145.8516533840075
TMEM184C,0.10182767624020887,2145.1388186403833
STK24,0.10966057441253264,2142.226251828359
FYTTD1,0.09921671018276762,2142.1624403647143
RNF168,0.1409921671018277,2140.332987027195
MRPL53,0.06527415143603134,2140.3015870846107
PSMD5,0.13577023498694518,2139.89135100406
BMP1,0.7075718015665796,2139.866895410985
PSME3IP1,0.13315926892950392,2137.4811559334535
APOBEC3B,0.5483028720626631,2137.1633835932944
FGFR3,0.5691906005221932,2136.745724713962
EDEM1,0.2845953002610966,2135.8788156329892
ARMH3,0.26631853785900783,2135.8169042964755
KICS2,0.21148825065274152,2133.421322433799
BAZ1A,0.12010443864229765,2132.16982215357
SERINC2,0.3838120104438642,2131.8198980219704
SSRP1,0.12532637075718014,2131.726901152378
PPP2R2D,0.13054830287206268,2128.4487580823757
