,importance
KIF5B,0.0021361226253147057
C19orf53,0.0021232028264094632
KCNJ3,0.0020824961483014394
TOP2A,0.0020733204932821187
RPSA,0.0020346994500428537
FOSL1,0.0020244737519518803
NDUFB2,0.0019949756755164886
MT1X,0.001938775041870283
SFN,0.0019226396813182929
KRT7,0.0018461396623055432
ANXA1,0.0018261719116054115
UBC,0.001804480116369071
ANP32B,0.0017900929409643748
HDGF,0.0017697842576151308
OAZ1,0.0017455946459377625
HSPB1,0.0016961032862960852
NRBP1,0.0016565907656505704
GOLGA4,0.0016384504276799683
ATP1A1,0.0016181245440680379
TSR1,0.0016102771863686482
RPS21,0.0015818218698450852
H4C5,0.001520429781338681
KRT14,0.0015141310680510149
YBX3,0.0015010797350863913
ZBTB20,0.001477802899140798
MT-ND4L,0.0014629947714775327
PLOD2,0.0014604501755920072
ATP5ME,0.001460328459327537
FOXP1,0.0014485078492175207
HSBP1,0.0014461422235115937
FABP5,0.0014429043577257996
COPS9,0.001432559675281854
PPIG,0.0014124955350777143
GBP1P1,0.0013771614604612837
MT-ND4,0.001332667848541785
MZT2B,0.0013080639635328377
H3C2,0.0013047768886120866
GNAS,0.00129883825354331
C4orf3,0.0012697121240944713
CEP55,0.001252750803614621
RPS29,0.0012473194167085888
CAMK2N1,0.0012450831837973193
NEDD4L,0.0012251747260554535
ANP32A,0.001222651984523233
MYL12B,0.0012147377987610992
POLR2A,0.0011963326343898387
GDPGP1,0.0011875233632452627
NMD3,0.0011722728634490373
METTL26,0.0011593080349736995
TMA7,0.0011564041752289988
CAP1,0.0011403091531181542
GTF3A,0.0011274582382631727
LINC01304,0.0011156494242011302
ATOX1,0.0011000854894857258
KCNJ2,0.0010903490308663184
NCOR2,0.001085133738426645
SLC2A1,0.0010371754526067203
RBX1,0.001012957077680276
MT-CYB,0.0010095817961331922
PDLIM1,0.0009962816795113757
TCEAL4,0.0009801493673406998
SNRNP70,0.0009651639438782829
ERO1A,0.0009511132508820006
POLR2J,0.0009284992886802193
CAVIN3,0.0009201623306905883
CTNND1,0.0009114322369951751
DAAM1,0.0009108000448585765
BTN3A2,0.0009076332744067751
PFKP,0.0008978481750358365
MARCHF6,0.0008898990319242615
ZHX1,0.0008898485225578464
DDX54,0.00087717840642631
MCM4,0.0008651600612370693
RPS6KA6,0.000858927038244794
MT-ND1,0.0008510385320824
OIP5-AS1,0.0008192157977955639
PRMT2,0.0008131127019469016
TAGLN2,0.0008050886236466696
FEM1A,0.0008035811744340513
FAM83A,0.0008015020117092433
PAIP2,0.0007967185014408569
CLIC1,0.0007966413130629524
SIVA1,0.0007944793050898384
MAFF,0.0007930883927801244
DDIT4,0.00079257781672803
RAP2B,0.0007905588933660322
SOX4,0.00078608168764976
ZCRB1,0.0007620785702652816
APOOL,0.0007607787106121297
PAQR7,0.000758405717185003
DCTN1,0.0007479994851395849
H2BC4,0.0007458900614473185
RRS1,0.000737159332117805
COTL1,0.0007245224833149731
SIGMAR1,0.000724179953521239
CCNI,0.0007217750034000208
PDCD4,0.0007164363620112639
MT-ATP6,0.000715853543714844
FAM120A,0.000714880109449409
GNB1,0.000712838689307871
KIF3B,0.0006981089977269229
HNRNPA1,0.0006950512622170853
FOSL2,0.0006856640156481693
MRPL14,0.0006771686785815914
AMOTL1,0.0006770188444266546
RRAS,0.0006759868309310351
BRMS1,0.0006751080146842851
CMIP,0.0006657162432083223
SLC25A48,0.0006650399993790089
FAM162A,0.0006616067411538208
KMT2D,0.0006612703677719217
H2AC16,0.0006519794492607812
SMARCB1,0.0006488832167154966
MLLT3,0.0006332499275975735
MORN2,0.0006309504019123785
DRAP1,0.0006286385992701585
